threshold,num_examples,positive_count,negative_count,positive_rate,predicted_positive_count,predicted_negative_count,true_negative,false_positive,false_negative,true_positive,accuracy,F1_weighted,F1_macro,F1_positive,F1_negative,balanced_accuracy,AUROC,PR_AUC_positive,PR_AUC_negative,feature_group,seed,threshold_mode,train_sec,num_features
0.0,5339,4584,755,0.8585877505150777,5339,0,0,755,0,4584,0.8585877505150777,0.7932613621608618,0.46195706943464676,0.9239141388692935,0.0,0.5,0.5,0.8585877505150777,0.14141224948492226,pair_history_only,45,val_F1_macro,0.31812334060668945,4
0.5,5339,4584,755,0.8585877505150777,0,5339,755,0,4584,0,0.14141224948492226,0.03503979270138376,0.12389235313423039,0.0,0.24778470626846077,0.5,0.5,0.8585877505150777,0.14141224948492226,pair_history_only,46,fixed_0.5,0.3031189441680908,4
0.0,5339,4584,755,0.8585877505150777,5339,0,0,755,0,4584,0.8585877505150777,0.7932613621608618,0.46195706943464676,0.9239141388692935,0.0,0.5,0.5,0.8585877505150777,0.14141224948492226,pair_history_only,46,val_F1_macro,0.3031189441680908,4
0.5,5339,4584,755,0.8585877505150777,4062,1277,417,338,860,3724,0.7756134107510769,0.7976610787385783,0.6359359432517153,0.861438815637289,0.4104330708661417,0.682354402875536,0.7420470568519354,0.9369702915227363,0.4203531325569307,target_reputation_user,42,fixed_0.5,0.47318577766418457,9
0.28807721063494685,5339,4584,755,0.8585877505150777,4459,880,380,375,500,4084,0.8361116313916463,0.8412437754134077,0.684035939738815,0.9032400751962845,0.4648318042813456,0.6971181073240642,0.7420470568519354,0.9369702915227363,0.4203531325569307,target_reputation_user,42,val_F1_macro,0.47318577766418457,9
0.5,5339,4584,755,0.8585877505150777,3926,1413,422,333,991,3593,0.7520134856714741,0.7800588678083853,0.6168586121818915,0.8444183313748531,0.3892988929889299,0.6713768304381493,0.7450264669509842,0.9382784230838415,0.4052243894724492,target_reputation_user,43,fixed_0.5,0.46164631843566895,9
0.22975071579217915,5339,4584,755,0.8585877505150777,4517,822,366,389,456,4128,0.8417306611725042,0.8445101797066592,0.6856627697472673,0.9071530601032853,0.4641724793912492,0.6926458860649769,0.7450264669509842,0.9382784230838415,0.4052243894724492,target_reputation_user,43,val_F1_macro,0.46164631843566895,9
0.5,5339,4584,755,0.8585877505150777,4006,1333,417,338,916,3668,0.7651245551601423,0.7897315606072446,0.6267207926886382,0.8540162980209546,0.3994252873563218,0.676246200432255,0.7425518359280192,0.9371482043874844,0.4235130922408942,target_reputation_user,44,fixed_0.5,0.47600388526916504,9
0.2740090787410736,5339,4584,755,0.8585877505150777,4475,864,380,375,484,4100,0.8391084472747705,0.8435565578252566,0.6873013716068044,0.9051771718732752,0.4694255713403335,0.6988633080221445,0.7425518359280192,0.9371482043874844,0.4235130922408942,target_reputation_user,44,val_F1_macro,0.47600388526916504,9
0.5,5339,4584,755,0.8585877505150777,3923,1416,418,337,998,3586,0.7499531747518262,0.7783043927244471,0.6140732072219279,0.843070412601387,0.38507600184246893,0.6679642985102228,0.7405084486205981,0.9366213711008367,0.41556102129653916,target_reputation_user,45,fixed_0.5,0.4747281074523926,9
0.27424715086817747,5339,4584,755,0.8585877505150777,4444,895,378,377,517,4067,0.8325529125304364,0.8383584013661483,0.6795782817094292,0.9009747452370404,0.4581818181818182,0.6939393282710955,0.7405084486205981,0.9366213711008367,0.41556102129653916,target_reputation_user,45,val_F1_macro,0.4747281074523926,9
0.5,5339,4584,755,0.8585877505150777,4074,1265,414,341,851,3733,0.7767372167072486,0.7983457262441165,0.6361124262114362,0.8623238623238624,0.4099009900990099,0.6813493233013187,0.7513601874646048,0.9402020360166166,0.4153478381640333,target_reputation_user,46,fixed_0.5,0.4801609516143799,9
0.22968731820583344,5339,4584,755,0.8585877505150777,4505,834,370,385,464,4120,0.8409814572017231,0.8442433232907944,0.6861460415812557,0.906590383980636,0.4657016991818754,0.6944222923384533,0.7513601874646048,0.9402020360166166,0.4153478381640333,target_reputation_user,46,val_F1_macro,0.4801609516143799,9
0.5,5339,4584,755,0.8585877505150777,3591,1748,448,307,1300,3284,0.6990073047387151,0.7404323336288019,0.5806977559650133,0.8034250764525994,0.3579704354774271,0.6548911850028316,0.6943802514938224,0.9054096113506822,0.45260196573679434,user_added_only,42,fixed_0.5,0.44665026664733887,8
0.23520919241011143,5339,4584,755,0.8585877505150777,4536,803,375,380,428,4156,0.8486607979022289,0.850593821086918,0.6963949507916132,0.9114035087719298,0.4813863928112965,0.7016602521872797,0.6943802514938224,0.9054096113506822,0.45260196573679434,user_added_only,42,val_F1_macro,0.44665026664733887,8
0.5,5339,4584,755,0.8585877505150777,3657,1682,445,310,1237,3347,0.7102453643004308,0.7490579066830332,0.5887415908437834,0.8122800630991385,0.3652031185884284,0.6597761577846353,0.6925152849531337,0.9045768317356369,0.44634267084318135,user_added_only,43,fixed_0.5,0.44817447662353516,8
0.237893376648426,5339,4584,755,0.8585877505150777,4574,765,371,384,394,4190,0.8542798276830867,0.8546796114054566,0.7016024241100678,0.9150469534832933,0.4881578947368421,0.7027197970481838,0.6925152849531337,0.9045768317356369,0.44634267084318135,user_added_only,43,val_F1_macro,0.44817447662353516,8
0.5,5339,4584,755,0.8585877505150777,3641,1698,448,307,1250,3334,0.7083723543734782,0.7477095373932052,0.5879830540607184,0.8106990881458966,0.3652670199755402,0.6603449371843325,0.6930764074292385,0.9074989972101785,0.42114763534711414,user_added_only,44,fixed_0.5,0.44665050506591797,8
0.20706172689795493,5339,4584,755,0.8585877505150777,4604,735,366,389,369,4215,0.858025847536992,0.8572275221566007,0.7043881280806888,0.9175010883761427,0.4912751677852349,0.7021354148607885,0.6930764074292385,0.9074989972101785,0.42114763534711414,user_added_only,44,val_F1_macro,0.44665050506591797,8
0.5,5339,4584,755,0.8585877505150777,3584,1755,449,306,1306,3278,0.6980707997752388,0.7397336150877326,0.5802066952561936,0.8026444662095984,0.35776892430278884,0.6548989863966806,0.6928114489788841,0.9047696212537905,0.4350163649016423,user_added_only,45,fixed_0.5,0.45542311668395996,8
0.2548063641786576,5339,4584,755,0.8585877505150777,4515,824,376,379,448,4136,0.845102079041019,0.8478991709006356,0.6926808414735078,0.9091108913067371,0.47625079164027867,0.7001410029703085,0.6928114489788841,0.9047696212537905,0.4350163649016423,user_added_only,45,val_F1_macro,0.45542311668395996,8
0.5,5339,4584,755,0.8585877505150777,3591,1748,449,306,1299,3285,0.6993819067241056,0.7407553798843977,0.5812196006993443,0.8036697247706422,0.35876947662804637,0.6556625117020908,0.693759029391029,0.9077962893423522,0.43598568327572834,user_added_only,46,fixed_0.5,0.45615410804748535,8
0.21063634201884268,5339,4584,755,0.8585877505150777,4589,750,369,386,381,4203,0.8563401386027346,0.8561406538703147,0.7033752457830705,0.9163850430611578,0.49036544850498337,0.7028132693041157,0.693759029391029,0.9077962893423522,0.43598568327572834,user_added_only,46,val_F1_macro,0.45615410804748535,8
0.5,5339,4584,755,0.8585877505150777,3588,1751,555,200,1196,3388,0.7385278141974152,0.7745543070301433,0.6360548682183806,0.8291727851199217,0.4429369513168396,0.7370959166926714,0.823561509656392,0.9622176170614926,0.5537067907956875,all_current,42,fixed_0.5,0.7558095455169678,29
0.12930894002318383,5339,4584,755,0.8585877505150777,4495,844,393,362,451,4133,0.8477242929387526,0.8512157423495913,0.7010049581462034,0.9104526930278665,0.4915572232645403,0.7110720559851138,0.823561509656392,0.9622176170614926,0.5537067907956875,all_current,42,val_F1_macro,0.7558095455169678,29
0.5,5339,4584,755,0.8585877505150777,3577,1762,550,205,1212,3372,0.7345944933508147,0.7713117154023567,0.6316987628349744,0.8263693174856023,0.43702820818434646,0.7320394577164453,0.8161101672387688,0.9599756418099381,0.5428957586394423,all_current,43,fixed_0.5,0.7708818912506104,29
0.12636715829372405,5339,4584,755,0.8585877505150777,4508,831,386,369,445,4139,0.8475369919460574,0.8505527328785409,0.6986149430038131,0.9104707435107787,0.48675914249684743,0.7070907446574899,0.8161101672387688,0.9599756418099381,0.5428957586394423,all_current,43,val_F1_macro,0.7708818912506104,29
0.5,5339,4584,755,0.8585877505150777,3566,1773,565,190,1208,3376,0.7381532122120247,0.7745213610549468,0.6377299642773938,0.8284662576687116,0.44699367088607594,0.7424095327254026,0.8309429284698866,0.9640053549539067,0.5505766980027329,all_current,44,fixed_0.5,0.7557997703552246,29
0.26440759658813473,5339,4584,755,0.8585877505150777,4125,1214,471,284,743,3841,0.8076418805019666,0.8249934635203886,0.6802457263144243,0.8820760133195544,0.47841543930929403,0.7308777723842215,0.8309429284698866,0.9640053549539067,0.5505766980027329,all_current,44,val_F1_macro,0.7557997703552246,29
0.5,5339,4584,755,0.8585877505150777,3583,1756,549,206,1207,3377,0.7353436973215958,0.7718767914038992,0.6321313196345288,0.8269866536059752,0.43727598566308246,0.7319225812789663,0.8208788414641195,0.9615607314437671,0.5404498078658927,all_current,45,fixed_0.5,0.750739574432373,29
0.15697936058044434,5339,4584,755,0.8585877505150777,4417,922,415,340,507,4077,0.8413560591871136,0.8477834465753886,0.7004153848406296,0.9058993445172758,0.4949314251639833,0.719533389965674,0.8208788414641195,0.9615607314437671,0.5404498078658927,all_current,45,val_F1_macro,0.750739574432373,29
0.5,5339,4584,755,0.8585877505150777,3586,1753,550,205,1203,3381,0.7362802022850721,0.7726435246394036,0.6331293349653203,0.8276621787025704,0.43859649122807015,0.7330211331091154,0.8259810975116444,0.9630000242844449,0.5485809274338435,all_current,46,fixed_0.5,0.7501766681671143,29
0.1323932196199894,5339,4584,755,0.8585877505150777,4492,847,399,356,448,4136,0.84941000187301,0.8529708221480774,0.7047710304825007,0.9114147201410313,0.49812734082397003,0.7153727910497787,0.8259810975116444,0.9630000242844449,0.5485809274338435,all_current,46,val_F1_macro,0.7501766681671143,29
